# Indian Food Composition Tables 2017
# T. Longvah, R. Ananthan, K. Bhaskarachary and K. Venkaiah
#
# Copyright  © 2017 by National Institute of Nutrition
# Indian Council of Medical Research
# Department of Health Research Ministry of Health and Family Welfare, Government of India
# Jamai Osmania (PO), Hyderabad – 500 007
# Telangana, India Phone: +91 40 27197334, Fax: +91 40 27000339, Email: nin@ap.nic.in
#
# LANGUAGE ABBREVIATIONS
# - Languages
# - Abbreviations used
lang,abbr
Assamese,A.
Bengali,B.
English,E.
Gujarati,G.
Hindi,H.
Kannada,Kan.
Kashmiri,Kash.
Khasi,Kh.
Konkani,Kon.
Malayalam,Mal.
Manipuri,M.
Marathi,Mar.
Nepali,N.
Oriya,O.
Punjabi,P.
Sanskrit,S.
Tamil,Tam.
Telugu,Tel.
Urdu,U.
Scientific name,Sci.
Common name,Common
